State,Sales,Profit
New York,310876.271,74038.5486
Delaware,27451.069,9977.3748
New Jersey,35764.312,9772.9138
Rhode Island,22627.956000000002,7285.6293
Maryland,23705.523,7031.1788
Massachusetts,28634.434,6785.5016
Connecticut,13384.357,3511.4918
Vermont,8929.369999999999,2244.9782999999998
New Hampshire,7292.524,1706.5028
District of Columbia,2865.02,1059.5892999999999
Maine,1270.53,454.4862
West Virginia,1209.824,185.9216
Pennsylvania,116511.914,-15559.9603
Ohio,78258.136,-16971.3766
